COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
THE FAIRLY ODD PARENTS!: SHADOW,2,1,0,1,THE FAIRLYODD PARENTS,THE FAIRLY ODDPARENTS,THQ ,BLITZ GAMES,ACTION,PLATFORM/SCROLLING CHARACTER,01-Sep-04,2004,9,E,NO,67.84999847,38.00,13.04,13.04,0,41,2,77,115087,4.42,63.73%,29.00,238897,6.93,No,Yes,Violent
THE FAIRLYODD PARENTS!: BREAKIN',3,1,1,1,THE FAIRLYODD PARENTS,THE FAIRLY ODDPARENTS,THQ ,BLITZ GAMES,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-03,2003,11,E,NO,67.33333333,39.00,0.00,0.00,0,42,0,54,446985,14.97,95.95%,33.00,472306,15.60,No,Yes,Violent
THE GETAWAY,1,0,0,1,THE GETAWAY,,SONY ,TEAM SOHO,ACTION,ACTION/DRIVING HYBRID,01-Jan-03,2003,1,M,NO,76.69999695,40.00,0.00,0.00,0,3,0,2,854172,33.65,93.07%,37.00,978146,36.15,No,Yes,Violent
THE GREAT ESCAPE,2,0,1,1,,OTHER,TAKE 2 INTERACTIVE ,PIVOTAL GAMES,ACTION,GENERAL ACTION,01-Jul-03,2003,7,M,NO,57.44999886,31.50,0.00,0.00,0,64,0,74,86434,2.44,88.33%,25.00,106759,2.77,No,No,Violent
THE GUY GAME,2,0,1,1,,,TAKE 2 INTERACTIVE ,TOP HEAVY STUDIOS,OTHER GAMES,ADULT,01-Sep-04,2004,9,M,NO,45.35000038,40.00,0.00,0.00,0,2,0,0,74335,2.97,82.63%,40.00,90044,3.59,No,No,Non violent
THE HAUNTED MANSION,3,1,1,1,,DISNEY ALL OTHER,TAKE 2 INTERACTIVE ,HIGH VOLTAGE SOFTWARE,ADVENTURE,GENERAL ADVENTURE,01-Oct-03,2003,10,T,NO,71.6333313,37.67,0.00,0.00,0,11,0,32,217592,7.16,92.75%,31.33,244666,7.72,No,No,Non violent
THE HOBBIT,3,1,1,1,,OTHER,VIVENDI UNIVERSAL ,INEVITABLE ENTERTAINMENT,RPG,RPG,01-Nov-03,2003,11,E,NO,65.09999847,47.00,0.00,0.00,0,29,0,38,364918,12.12,92.26%,30.33,439728,13.14,Vivendi,Yes,Non violent
THE INCREDIBLES,3,1,1,1,THE INCREDIBLES,INCREDIBLES,THQ ,HEAVY IRON STUDIOS,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-04,2004,11,T,NO,63.20000076,38.33,0.00,0.00,0,53,0,99,782650,29.91,71.44%,37.00,1135263,41.87,No,Yes,Violent
THE ITALIAN JOB,3,1,1,1,,OTHER,EIDOS INTERACTIVE ,CLIMAX GROUP,RACING,COMBAT ORIENTED RACING,01-Jun-03,2003,6,T,NO,58.5333341,29.00,0.00,0.00,0,17,0,24,134479,3.95,90.14%,26.67,155584,4.38,No,No,Non violent
THE MARK OF KRI,1,0,0,1,,,SONY ,SONY COMPUTER ENTERTAINMENT,ADVENTURE,GENERAL ADVENTURE,01-Jul-02,2002,7,M,NO,81,41.00,0.00,0.00,0,9,0,6,125145,4.47,84.64%,30.00,176193,5.28,No,Yes,Non violent
THE MUMMY RETURNS,1,0,0,1,THE MUMMY,OTHER,VIVENDI UNIVERSAL ,BLITZ GAMES,ACTION,GENERAL ACTION,01-Sep-01,2001,9,T,NO,48.20000076,53.00,0.00,0.00,0,14,0,0,116578,5.87,77.59%,39.00,195933,7.57,Vivendi,Yes,Violent
THE SIMS,3,1,1,1,THE SIMS,,ELECTRONIC ARTS,EDGE OF REALITY,STRATEGY,LIFE SIMULATIONS,01-Jan-03,2003,1,T,NO,82.86666616,45.00,0.00,0.00,3,7,0,6,1085834,48.22,83.14%,34.00,1592491,58.01,No,Yes,Non violent
THE SIMS: BUSTIN' OUT,3,1,1,1,THE SIMS,,ELECTRONIC ARTS,MAXIS,STRATEGY,LIFE SIMULATIONS,01-Dec-03,2003,12,T,NO,81.83333588,50.00,0.00,0.00,3,7,0,6,1007011,36.65,87.07%,33.00,1282288,42.09,No,Yes,Non violent
THE SUFFERING,2,0,1,1,,,MIDWAY,MIDWAY HOME ENTERTAINMENT,ADVENTURE,SURVIVAL HORROR,01-Mar-04,2004,3,M,NO,81.79999924,44.50,0.00,0.00,0,10,0,23,269826,11.99,96.66%,42.50,292355,12.41,No,No,Non violent
THE THING,2,0,1,1,,OTHER,VIVENDI UNIVERSAL ,COMPUTER ARTWORKS,ADVENTURE,SURVIVAL HORROR,01-Aug-02,2002,8,M,NO,78.65000153,49.00,0.00,0.00,0,5,0,6,252890,11.04,95.17%,39.50,285635,11.60,Vivendi,Yes,Non violent
