COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
.HACK: INFECTION,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Feb-03,2003,2,T,NO,76.59999847,42.00,0.00,0.00,2,15,0,28,341506,14.08,92.09%,38.00,402687,15.29,No,No,Non violent
.HACK: MUTATION,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-May-03,2003,5,T,NO,74.09999847,44.00,0.00,0.00,2,15,0,28,166288,7.14,92.92%,41.00,185581,7.68,No,No,Non violent
.HACK: OUTBREAK,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Sep-03,2003,9,T,NO,67.90000153,48.00,0.00,0.00,2,15,0,28,100828,4.24,91.74%,40.00,115461,4.63,No,No,Non violent
.HACK: QUARANTINE,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Jan-04,2004,1,T,NO,65,41.00,14.08,25.46,0,20,3,44,67820,2.75,95.65%,40.00,72144,2.88,No,No,Non violent
1080 AVALANCHE,1,1,0,0,1080 SNOWBOARDING,,NINTENDO OF AMERICA,NINTENDO SOFTWARE TECHNOLOGY,SPORTS,EXTREME SPORTS,01-Dec-03,2003,12,E,NO,74.59999847,49.00,0.00,0.00,0,6,0,15,114732,4.89,86.49%,37.00,154490,5.66,No,No,Non violent
18 WHEELER PRO TRUCKER,2,1,0,1,,,ACCLAIM  ,ACCLAIM STUDIOS,RACING,ACTION ORIENTED RACING,01-Nov-01,2001,2,E,NO,54.39999962,43.50,0.00,0.00,0,26,0,8,134506,5.08,73.79%,28.50,231684,6.88,No,No,Non violent
2002 FIFA WORLD CUP,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Apr-02,2002,4,E,NO,74.40000153,48.33,14.51,23.87,3,14,3,5,298020,14.33,97.20%,44.67,318928,14.74,No,Yes,Non violent
4X4 EVO 2,2,1,1,0,4X4 EVO,,TAKE 2 INTERACTIVE ,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,01-Oct-01,2001,9,E,NO,58.89999962,50.00,0.00,0.00,0,6,0,4,158756,5.26,79.64%,26.50,227735,6.61,No,No,Non violent
4X4 EVOLUTION,1,0,0,1,4X4 EVO,,TAKE 2 INTERACTIVE ,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,01-Mar-01,2001,3,E,NO,65.5,43.00,0.00,0.00,0,23,0,4,88202,3.70,82.92%,35.00,127078,4.47,No,No,Non violent
ACE COMBAT 4,1,0,0,1,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-01,2001,10,E,NO,84.69999695,51.00,0.00,0.00,0,3,0,0,680201,28.24,59.54%,29.00,1639304,47.43,No,No,Non violent
ACE COMBAT 5: THE UNSUNG WAR,2,0,0,2,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-04,2004,10,T,NO,84.19999695,89.00,56.48,56.48,2,4,2,18,341673,18.03,76.66%,89.00,450012,23.52,No,No,Non violent
ACTIVISION ANTHOLOGY,1,0,0,1,,,ACTIVISION,CONTRABAND ENTERTAINMENT,ARCADE,CLASSIC ARCADE,01-Nov-02,2002,11,E,NO,77.59999847,30.00,0.00,0.00,0,0,0,2,138042,2.78,77.40%,18.00,194514,3.59,No,No,Non violent
ADV OF COOKIE & CREAM,1,0,0,1,,,AGETEC,FROMSOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,01-Apr-01,2001,4,E,NO,78.30000305,32.00,0.00,0.00,0,8,0,1,45311,1.31,71.45%,25.00,72381,1.84,No,No,Violent
AERO ELITE: COMBAT,1,0,0,1,,,SEGA OF AMERICA,AM2,FLIGHT,AIR COMBAT SIMULATIONS,01-Mar-03,2003,3,E,NO,65.90000153,48.00,0.00,0.00,0,2,0,6,25760,1.23,92.47%,46.00,28766,1.33,No,No,Non violent
AGASSI TENNIS,1,0,0,1,,PRO TENNIS,DREAMCATCHER INTERACTIVE,DREAMCATCHER,SPORTS,TENNIS,01-Aug-03,2003,8,E,NO,56,20.00,0.00,0.00,0,0,0,4,32096,0.63,90.86%,19.00,35575,0.69,No,No,Non violent
AGGRESSIVE INLINE,3,1,1,1,,,ACCLAIM  ,Z-AXIS,SPORTS,EXTREME SPORTS,01-May-02,2002,5,T,NO,86.03333028,40.67,0.00,0.00,0,37,0,24,139559,5.03,81.99%,28.33,208945,6.14,No,No,Non violent
AIRBLADE,1,0,0,1,,,NAMCO,CRITERION STUDIOS,SPORTS,EXTREME SPORTS,01-Jan-02,2002,1,T,NO,72.90000153,23.00,0.00,0.00,0,16,0,14,75408,1.76,86.57%,22.00,91763,2.03,No,No,Non violent
AIRFORCE DELTA STORM,1,0,1,0,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KCE STUDIOS,FLIGHT,AIR COMBAT SIMULATIONS,01-Nov-01,2001,11,E,NO,66.5,50.00,0.00,0.00,0,0,0,0,63410,3.18,69.34%,42.00,108447,4.58,No,No,Non violent
AIRFORCE DELTA STRIKE,1,0,0,1,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KONAMI,FLIGHT,AIR COMBAT SIMULATIONS,01-Feb-04,2004,2,T,NO,65.19999695,30.00,0.00,0.00,0,2,0,9,33079,0.99,87.94%,28.00,39947,1.13,No,No,Non violent
ALIAS,2,0,1,1,,OTHER,ACCLAIM  ,ACCLAIM STUDIOS,ACTION,GENERAL ACTION,01-Apr-04,2004,4,T,NO,63.70000076,31.50,0.00,0.00,0,61,0,140,39330,1.24,82.89%,26.50,56697,1.49,No,No,Violent
ALIEN HOMINID,2,1,0,1,,,3,THE BEHEMOTH,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-04,2004,11,T,NO,79.35000229,30.00,0.00,0.00,0,41,0,77,24060,0.72,36.92%,25.50,75359,1.94,No,No,Violent
ALIENS VS PREDATOR,2,0,1,1,ALIENS VS PREDATOR,ALIENS,ELECTRONIC ARTS,ZONO,STRATEGY,REAL-TIME STRATEGY,01-Jul-03,2003,7,T,NO,63.44999886,39.50,0.00,0.00,0,3,0,5,110336,4.22,89.53%,37.50,125346,4.71,No,Yes,Non violent
ALL STAR BASEBALL 2002,2,1,0,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,BASEBALL,01-Mar-01,2001,3,E,NO,70.75,49.50,0.00,0.00,0,2,0,0,320260,14.12,94.53%,39.50,361723,14.94,No,No,Non violent
ALL STAR BASEBALL 2003,3,1,1,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,BASEBALL,01-Feb-02,2002,2,E,NO,79.16666667,45.00,14.12,14.12,0,8,2,4,495486,22.77,95.32%,41.00,556378,23.89,No,No,Non violent
ALL STAR BASEBALL 2004,3,1,1,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,BASEBALL,01-Feb-03,2003,2,E,NO,76.96666718,44.00,22.77,36.89,0,11,5,15,264072,11.92,95.18%,40.67,293544,12.53,No,No,Non violent
ALL STAR BASEBALL 2005,2,0,1,1,ALL STAR BASEBALL,MAJOR LEAGUE BASEBALL (MLB),ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,BASEBALL,01-Mar-04,2004,3,E,YES,74.45000076,38.00,10.18,39.84,0,7,5,23,197399,7.52,95.99%,37.00,209914,7.83,No,No,Non violent
ALTER ECHO,2,0,1,1,,,THQ ,OUTRAGE GAMES,ACTION,GENERAL ACTION,01-Aug-03,2003,8,T,NO,65.40000153,26.50,0.00,0.00,0,64,0,74,52997,0.87,79.54%,15.00,75748,1.09,No,Yes,Violent
AMAZING ISLAND,1,1,0,0,,,SEGA OF AMERICA,HITMAKER,STRATEGY,LIFE SIMULATIONS,01-Aug-04,2004,8,E,NO,58.29999924,39.00,0.00,0.00,0,1,0,4,24201,0.95,82.67%,35.00,33124,1.15,No,No,Non violent
AMERICAN CHOPPER,2,0,1,1,,OTHER,ACTIVISION,CREAT STUDIO,RACING,ACTION ORIENTED RACING,01-Nov-04,2004,11,T,NO,47.39999962,30.00,0.00,0.00,0,24,0,98,183220,5.45,55.65%,28.00,345308,9.80,No,No,Non violent
AMERICAN IDOL,1,0,0,1,,AMERICAN IDOL,CODEMASTERS,HOTHOUSE CREATIONS,FAMILY ,MUSIC/DANCE GAMES,01-Nov-03,2003,11,E,NO,51.09999847,35.00,0.00,0.00,0,10,0,8,175320,4.54,90.75%,24.00,211306,5.00,No,No,Non violent
AMF BOWLING 2004,1,0,1,0,,,BETHESDA SOFTWORKS,BLACK MARKET GAMES,SPORTS,BOWLING,01-Dec-03,2003,12,E,NO,44.40000153,21.00,0.00,0.00,0,0,0,0,129449,1.66,80.87%,12.00,165052,2.06,No,No,Non violent
AMPED 2,1,0,1,0,AMPED,,MICROSOFT ,MICROSOFT,SPORTS,EXTREME SPORTS,01-Oct-03,2003,10,E,YES,82.19999695,48.00,13.54,13.54,0,5,1,18,130544,5.20,90.77%,38.00,151909,5.73,No,No,Non violent
AMPED: SNOWBOARDING,1,0,1,0,AMPED,,MICROSOFT ,MICROSOFT,SPORTS,EXTREME SPORTS,01-Nov-01,2001,11,E,NO,81.69999695,49.00,0.00,0.00,0,6,0,0,346011,13.54,78.31%,31.00,554726,17.29,No,No,Non violent
AMPLITUDE,1,0,0,1,,,SONY ,HARMONIX MUSIC SYSTEMS,FAMILY ,MUSIC/DANCE GAMES,01-Mar-03,2003,3,T,YES,85.5,36.00,0.00,0.00,0,10,0,8,48256,1.68,82.65%,31.00,65864,2.03,No,Yes,Non violent
ANIMAL CROSSING,1,1,0,0,,,NINTENDO OF AMERICA,NINTENDO COMPANY,STRATEGY,LIFE SIMULATIONS,01-Sep-02,2002,9,E,NO,86.69999695,50.00,0.00,0.00,0,1,0,0,548450,25.60,66.37%,36.00,1062011,38.57,No,No,Non violent
ANTZ EXTREME RACING,2,0,1,1,ANTZ,OTHER,EMPIRE INTERACTIVE,SUPERSONIC SOFTWARE,RACING,ACTION ORIENTED RACING,01-Sep-02,2002,9,E,NO,42.75,23.00,0.00,0.00,0,25,0,32,19568,0.40,82.14%,20.00,24564,0.49,No,No,Non violent
APE ESCAPE 2,1,0,0,1,APE ESCAPE,,UBISOFT,SONY COMPUTER ENTERTAINMENT,ACTION,PLATFORM/SCROLLING CHARACTER,01-Jun-03,2003,6,E,NO,80.80000305,34.00,0.00,0.00,0,16,0,25,89125,2.85,95.00%,30.00,98688,3.00,No,Yes,Violent
APE ESCAPE: PUMPED,1,0,0,1,APE ESCAPE,,UBISOFT,SONY COMPUTER ENTERTAINMENT,ACTION,PLATFORM/SCROLLING CHARACTER,01-Oct-04,2004,10,T,NO,63.20000076,40.00,2.85,2.85,0,25,1,42,4314,0.17,36.18%,23.00,20902,0.47,No,Yes,Violent
APEX,1,0,1,0,,,ATARI,MILESTONE,RACING,ACTION ORIENTED RACING,01-Feb-03,2003,2,E,NO,74.5,40.00,0.00,0.00,0,20,0,15,74185,2.96,95.93%,38.00,80472,3.08,No,No,Non violent
AQUA AQUA,1,0,0,1,,,THE 3DO COMPANY,ZED TWO GAME DESIGN STUDIO,FAMILY ,PUZZLE GAMES,01-Jan-01,2001,1,E,NO,72.69999695,24.00,0.00,0.00,0,0,0,2,23161,0.55,68.64%,19.00,41436,0.80,No,No,Non violent
AQUAMAN: ATLANTIS,2,1,1,0,AQUAMAN,DC COMICS SUPER HEROES,TAKE 2 INTERACTIVE ,LUCKY CHICKEN GAMES,ACTION,GENERAL ACTION,01-Jul-03,2003,7,T,NO,28.10000038,19.50,0.00,0.00,0,53,0,42,11136,0.19,79.15%,16.00,15501,0.24,No,No,Violent
ARC THE LAD: TWILIGHT,1,0,0,1,ARC THE LAD,,SONY ,ARC ENTERTAINMENT,RPG,RPG,01-Jun-03,2003,6,T,NO,74.90000153,40.00,0.00,0.00,0,15,0,28,100934,3.67,87.09%,32.00,133217,4.22,No,Yes,Non violent
ARCTIC THUNDER,2,0,1,1,,,MIDWAY,INLAND PRODUCTIONS,RACING,COMBAT ORIENTED RACING,01-Sep-01,2001,9,T,NO,49.85000038,44.00,0.00,0.00,0,6,0,1,148485,5.88,83.33%,37.00,203933,7.05,No,No,Non violent
ARMED AND DANGEROUS,1,0,1,0,,,LUCASARTS,PLANET MOON STUDIOS,SHOOTER,SQUAD BASED COMBAT,01-Dec-03,2003,12,T,NO,77.09999847,50.00,0.00,0.00,0,7,0,2,62092,2.10,95.13%,32.00,68624,2.21,No,Yes,Violent
ARMORED CORE 2,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,01-Oct-00,2000,10,T,NO,74.19999695,50.00,0.00,0.00,0,2,0,0,124142,6.07,70.70%,38.00,227795,8.58,No,No,Violent
ARMORED CORE 3,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,01-Sep-02,2002,9,T,NO,74.19999695,49.00,4.07,10.14,0,7,2,5,141360,5.85,87.45%,38.00,174807,6.69,No,No,Violent
ARMORED CORE: NEXUS,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,01-Sep-04,2004,9,T,NO,74,50.00,5.85,15.98,0,1,3,16,34035,1.69,76.46%,49.00,45167,2.21,No,No,Violent
ARMORED CORE2:ANOTHER,1,0,0,1,ARMORED CORE,,AGETEC,FROMSOFTWARE,SHOOTER,MECHANIZED SHOOTER,01-Aug-01,2001,8,T,NO,73.30000305,51.00,6.07,6.07,0,1,1,3,79562,4.07,91.66%,51.00,87797,4.44,No,No,Violent
ARMY MEN AIR ATTACK 2,1,0,0,1,ARMY MEN,,THE 3DO COMPANY,THE 3DO COMPANY,ACTION,GENERAL ACTION,01-Mar-01,2001,3,T,NO,68.59999847,37.00,0.00,0.00,2,14,0,0,43268,1.54,82.44%,31.00,59528,1.86,No,No,Violent
ARMY MEN GREEN ROGUE,1,0,0,1,ARMY MEN,,THE 3DO COMPANY,THE 3DO COMPANY,ACTION,GENERAL ACTION,01-Mar-01,2001,3,T,NO,37.29999924,48.00,0.00,0.00,2,14,0,0,31966,1.45,75.99%,37.00,51681,1.91,No,No,Violent
ARMY MEN SARGES HERO 2,1,0,0,1,ARMY MEN,,THE 3DO COMPANY,THE 3DO COMPANY,ACTION,GENERAL ACTION,01-Mar-01,2001,3,T,NO,55.20000076,40.00,0.00,0.00,2,14,0,0,52387,2.03,84.47%,34.00,70436,2.40,No,No,Violent
ARMY MEN: RTS,2,1,0,1,ARMY MEN,,TAKE 2 INTERACTIVE ,GLOBAL STAR SOFTWARE,STRATEGY,REAL-TIME STRATEGY,01-Mar-02,2002,3,T,NO,65.79999924,22.50,2.17,5.16,1,3,4,3,49781,1.36,86.50%,22.50,63091,1.57,No,No,Non violent
ARMY MEN: SARGE'S WAR,2,1,1,0,ARMY MEN,,TAKE 2 INTERACTIVE ,GLOBAL STAR SOFTWARE,ACTION,GENERAL ACTION,01-Jul-04,2004,7,T,NO,52.14999962,15.50,0.15,0.15,1,36,1,97,81856,1.26,75.68%,15.00,110478,1.67,No,No,Violent
ARMY MEN:ELITE MISSNS,1,1,0,0,ARMY MEN,,THE 3DO COMPANY,WIDE GAMES,ACTION,GENERAL ACTION,01-Mar-03,2003,3,T,NO,48.09999847,25.00,0.00,0.00,0,20,0,18,6178,0.15,81.86%,22.00,8018,0.18,No,No,Violent
ARX FATALIS,1,0,1,0,,,DREAMCATCHER INTERACTIVE,ARKANE STUDIOS,RPG,RPG,01-Dec-03,2003,12,M,NO,74,35.00,0.00,0.00,0,8,0,5,25657,0.74,95.36%,28.00,27431,0.77,No,No,Non violent
ASTERIX & OBELIX:KICK,1,0,0,1,,ASTERIX,ATARI,ETRANGES LIBELLULES,ACTION,PLATFORM/SCROLLING CHARACTER,01-Sep-04,2004,9,E,NO,63.5,20.00,0.00,0.00,0,25,0,42,6576,0.13,58.75%,20.00,11275,0.22,No,No,Violent
ASTRO BOY,1,0,0,1,,,SEGA OF AMERICA,SONIC TEAM,ACTION,PLATFORM/SCROLLING CHARACTER,01-Aug-04,2004,8,E,NO,55.59999847,30.00,0.00,0.00,0,25,0,42,13583,0.40,63.54%,24.00,26048,0.64,No,No,Violent
ATARI ANTHOLOGY,2,0,1,1,,,ATARI,DIGITAL ECLIPSE SOFTWARE,ARCADE,CLASSIC ARCADE,01-Nov-04,2004,11,E,NO,68.54999924,19.50,0.00,0.00,0,4,0,7,174641,3.35,51.31%,19.50,335881,6.53,No,No,Non violent
ATHENS 2004,1,0,0,1,,OLYMPICS,SONY ,EUROCOM DEVELOPMENTS,SPORTS,MULTIPLE/OTHER SPORTS,01-Jul-04,2004,7,E,NO,64.90000153,40.00,0.00,0.00,0,1,0,9,82933,3.28,90.49%,38.00,95392,3.63,No,Yes,Non violent
ATV OFF ROAD FURY,1,0,0,1,ATV OFF ROAD FURY,,SONY ,RAINBOW STUDIOS,RACING,ACTION ORIENTED RACING,01-Feb-01,2001,2,E,NO,83.19999695,50.00,0.00,0.00,0,23,0,4,581454,25.80,52.50%,29.00,1688361,49.13,No,Yes,Non violent
ATV OFF ROAD FURY 2,1,0,0,1,ATV OFF ROAD FURY,,SONY ,RAINBOW STUDIOS,RACING,ACTION ORIENTED RACING,01-Nov-02,2002,11,E,YES,81.59999847,40.00,25.80,25.80,0,15,1,28,1067768,40.32,82.69%,34.00,1421288,48.76,No,Yes,Non violent
ATV OFF ROAD FURY 3,1,0,0,1,ATV OFF ROAD FURY,,SONY ,CLIMAX GROUP,RACING,ACTION ORIENTED RACING,01-Nov-04,2004,11,E,YES,,39.00,40.32,66.11,0,10,2,62,318323,12.57,76.66%,39.00,416443,16.39,No,Yes,Non violent
ATV QUAD POWER RACE 2,3,1,1,1,ATV QUAD POWER,,ACCLAIM  ,CLIMAX GROUP,RACING,ACTION ORIENTED RACING,01-Jan-03,2003,1,E,NO,71.79999797,24.33,0.00,0.00,0,54,0,67,467890,11.49,73.09%,22.33,702235,15.72,No,No,Non violent
AUTO MODELLISTA,3,1,1,1,,,CAPCOM USA,CAPCOM,RACING,ACTION ORIENTED RACING,01-Mar-03,2003,1,E,NO,62.60000102,39.33,0.00,0.00,0,48,0,88,139749,5.88,92.37%,35.00,168205,6.36,No,No,Non violent
AZURIK: RISE PERATHIA,1,0,1,0,,,MICROSOFT ,ADRENIUM GAMES,ADVENTURE,GENERAL ADVENTURE,01-Nov-01,2001,11,T,NO,53.70000076,49.00,0.00,0.00,0,1,0,0,123416,5.37,94.03%,41.00,139083,5.71,No,No,Non violent
BACKYARD BASEBALL,2,1,0,1,BACKYARD SPORTS,MAJOR LEAGUE BASEBALL (MLB),ATARI,HUMONGOUS ENTERTAINMENT,CHILDREN'S ,CHILDREN'S GAMES,01-Mar-03,2003,3,E,NO,70.15000153,27.50,8.89,8.89,0,9,2,15,236913,6.51,90.76%,26.50,271764,7.17,No,No,Non violent
BACKYARD BASKETBALL,1,0,0,1,BACKYARD SPORTS,NATL BASKETBALL ASSOC,ATARI,SOLWORKS,CHILDREN'S ,CHILDREN'S GAMES,01-Oct-03,2003,10,E,NO,72.59999847,29.00,0.00,0.00,0,4,0,5,203421,5.34,91.99%,26.00,227393,5.80,No,No,Non violent
BACKYARD FOOTBALL,1,1,0,0,BACKYARD SPORTS,NATL FOOTBALL LEAGUE,ATARI,LEFT FIELD PRODUCTIONS,CHILDREN'S ,CHILDREN'S GAMES,01-Oct-02,2002,10,E,NO,65.19999695,49.00,0.00,0.00,0,4,0,0,123983,3.55,83.49%,26.00,162229,4.26,No,No,Non violent
BACKYARD WRESTLING,2,0,1,1,BACKYARD WRESTLING,,EIDOS INTERACTIVE ,PARADOX DEVELOPMENT,FIGHTING,WRESTLING,01-Oct-03,2003,10,M,NO,53.85000038,49.00,0.00,0.00,0,5,0,7,268866,11.48,94.15%,38.50,311002,12.19,No,No,Violent
BACKYARD WRESTLING 2,2,0,1,1,BACKYARD WRESTLING,,EIDOS INTERACTIVE ,PARADOX DEVELOPMENT,FIGHTING,WRESTLING,01-Nov-04,2004,11,M,NO,48.04999924,48.50,11.48,11.48,0,4,2,14,31065,1.50,49.72%,29.00,102438,3.01,No,No,Violent
BAD BOYS: MIAMI TAKEDOWN,3,1,1,1,,OTHER,CRAVE ,BLITZ GAMES,ACTION,GENERAL ACTION,01-Sep-04,2004,9,M,NO,39.23333232,15.67,0.00,0.00,0,76,0,179,210758,2.54,55.53%,14.33,369115,4.58,No,No,Violent
BALDUR'S GATE: ALLIANCE,3,1,1,1,BALDUR'S GATE,,INTERPLAY PRODUCTIONS,HIGH VOLTAGE SOFTWARE,RPG,RPG,01-Dec-01,2001,10,T,NO,82.23333232,50.33,0.00,0.00,0,20,0,4,430033,15.93,77.13%,27.33,693334,20.65,No,No,Non violent
BALDURS GATE: DARK ALLIANCE II,2,0,1,1,BALDUR'S GATE,,INTERPLAY PRODUCTIONS,SNOWBLIND STUDIOS,RPG,RPG,01-Jan-04,2004,1,T,NO,79.90000153,47.50,14.36,14.36,0,28,2,58,390126,18.55,96.91%,47.00,410191,19.14,No,No,Non violent
BARBARIAN,1,0,0,1,,,TITUS INTERACTIVE,SAFFIRE,FIGHTING,FIGHT/HEAD TO HEAD,01-Jun-02,2002,6,T,NO,68.30000305,42.00,0.00,0.00,0,9,0,7,43463,1.66,85.94%,34.00,56908,1.93,No,No,Violent
BARBIE HORSE ADVENTURES: WILD HO,2,0,1,1,BARBIE,BARBIE,VIVENDI UNIVERSAL ,BLITZ GAMES,CHILDREN'S ,CHILDREN'S GAMES,01-Nov-03,2003,11,E,NO,40.29999924,44.50,0.00,0.00,0,6,0,6,169210,5.93,89.93%,32.50,201425,6.60,Vivendi,Yes,Non violent
BASS FISHING DUEL,1,0,0,1,BASS MASTER,,SEGA OF AMERICA,WOW ENTERTAINMENT,SPORTS,FISHING,01-Sep-02,2002,9,E,NO,67.80000305,49.00,0.00,0.00,0,2,0,1,34872,1.58,71.63%,33.00,66502,2.21,No,No,Non violent
BASS STRIKE,1,0,0,1,,,THQ ,PAI,SPORTS,FISHING,01-Sep-01,2001,9,E,NO,55.70000076,43.00,0.00,0.00,0,0,0,0,87716,3.12,83.96%,34.00,109655,3.72,No,Yes,Non violent
BATEN KAITOS: ETERNAL,1,1,0,0,,,NAMCO,MONOLITH PRODUCTION,RPG,RPG,01-Nov-04,2004,11,T,NO,82.30000305,48.00,0.00,0.00,0,12,0,12,59951,2.90,61.29%,43.00,109691,4.74,No,No,Non violent
BATMAN DARK TOMORROW,2,1,1,0,BATMAN,BATMAN,KEMCO AMERICA,KEMCO,ACTION,GENERAL ACTION,01-Mar-03,2003,3,T,NO,28.35000038,27.50,7.14,7.14,2,53,2,42,79770,2.04,81.84%,21.50,114901,2.50,No,No,Violent
BATMAN VENGEANCE,3,1,1,1,BATMAN,BATMAN,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,01-Oct-01,2001,10,T,NO,70.03333282,50.33,0.00,0.00,0,17,0,0,353305,14.74,89.18%,37.67,445552,16.53,No,Yes,Violent
BATMAN: RISE OF SIN TZU,3,1,1,1,BATMAN,BATMAN,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,01-Oct-03,2003,10,T,NO,61.90000025,26.00,14.74,14.74,2,84,3,92,190722,4.24,86.85%,20.67,228321,4.88,No,Yes,Violent
BATTLE ASSAULT 3,1,0,0,1,GUNDAM,GUNDAM,BANDAI ,NATSUME,FIGHTING,FIGHT/HEAD TO HEAD,01-Dec-04,2004,12,T,NO,54.09999847,40.00,1.63,14.88,1,17,4,26,5862,0.23,46.72%,40.00,12552,0.50,No,No,Violent
BATTLE ENGINE AQUILA,2,0,1,1,,,ATARI,LOST TOYS,SHOOTER,1ST PERSON SHOOTER,01-Jan-03,2003,1,T,NO,74.20000076,37.50,0.00,0.00,0,18,0,27,18445,0.68,90.52%,34.50,22642,0.75,No,No,Violent
BATTLESTAR GALACTICA,2,0,1,1,,BATTLESTAR GALACTICA,VIVENDI UNIVERSAL ,WARTHOG,FLIGHT,SPACE COMBAT SIMULATIONS,01-Nov-03,2003,11,T,NO,65.95000076,50.00,0.00,0.00,0,0,0,9,80013,2.95,88.58%,34.00,99139,3.33,Vivendi,Yes,Non violent
BEACH SPIKERS,1,1,0,0,,,SEGA OF AMERICA,AM2,SPORTS,MULTIPLE/OTHER SPORTS,01-Aug-02,2002,8,E,NO,76.59999847,48.00,0.00,0.00,0,2,0,0,50560,1.60,85.82%,28.00,66804,1.86,No,No,Non violent
BEYBLADE:SUPER TRNMNT,1,1,0,0,BEYBLADE,BEYBLADE,ATARI,INFOGRAMES,FIGHTING,FIGHT/HEAD TO HEAD,01-Sep-03,2003,9,E,NO,44.79999924,30.00,0.00,0.00,0,3,0,7,115792,3.14,88.76%,26.00,134908,3.54,No,No,Violent
BEYOND GOOD & EVIL,3,1,1,1,,,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,01-Nov-03,2003,11,T,NO,87.60000102,41.33,0.00,0.00,0,84,0,92,197459,4.61,92.12%,23.00,227369,5.01,No,Yes,Violent
BICYCLE CASINO 2005,1,0,1,0,BICYCLE,,ACTIVISION,LEAPING LIZARD SOFTWARE,FAMILY ,CARD GAMES,01-Oct-04,2004,10,E,YES,51.20000076,29.00,0.00,0.00,0,1,0,0,69402,2.00,61.17%,26.00,124398,3.28,No,No,Non violent
BIG AIR FREESTYLE,1,1,0,0,BIG AIR,,ATARI,PARADIGM ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Sep-02,2002,9,T,NO,54.40000153,39.00,0.00,0.00,0,11,0,3,14876,0.35,57.32%,21.00,29539,0.61,No,No,Non violent
BIG MUTHA TRUCKERS,3,1,1,1,,,THQ ,EUTECHNYX,RACING,ACTION ORIENTED RACING,01-Jun-03,2003,6,T,NO,64.63333384,20.00,0.00,0.00,0,54,0,67,441859,8.68,90.80%,19.33,493014,9.56,No,Yes,Non violent
BILLY HATCHER,1,1,0,0,,,SEGA OF AMERICA,SONIC TEAM,ACTION,PLATFORM/SCROLLING CHARACTER,01-Sep-03,2003,9,E,NO,72.30000305,39.00,0.00,0.00,0,17,0,17,149730,5.23,92.73%,34.00,168288,5.64,No,No,Violent
BIONICLE,3,1,1,1,BIONICLE,LEGO: BIONICLE,ELECTRONIC ARTS,ARGONAUT SOFTWARE,ACTION,GENERAL ACTION,01-Oct-03,2003,10,E,NO,44.76666641,39.67,0.00,0.00,0,84,0,92,268386,8.09,87.61%,29.00,323967,9.24,No,Yes,Violent
BLACK & BRUISED,2,1,0,1,,,MAJESCO,DIGITAL FICTION,SPORTS,BOXING,01-Jan-03,2003,1,T,NO,64.84999847,28.50,0.00,0.00,0,0,0,8,52402,1.51,76.09%,21.00,90710,1.98,No,No,Non violent
